,diary_index,title_raw,value_raw,title,value,owner
0,0,Occupation,Digital Marketing Account Manager,occupation,Digital Marketing Account Manager,diarist
1,0,Industry,Hospitality,industry,Hospitality,diarist
2,0,Age,26,age,26,diarist
3,0,Location,"Dublin, Ireland",location,"dublin, ireland",diarist
4,0,Salary,"$37,100",salary,37100,diarist
5,0,Paycheck Amount (Monthly),"$2,595",monthly paycheck,2595,diarist
6,0,Rent,"$1,970 (My boyfriend and I split this. I pay $810, and he pays the rest. We don't really keep track of who pays for what in our day-to-day, but he generally pays for more than I do and takes care of the larger bills, as he makes more than three times as much as I do.)",rent,810,diarist
7,0,Student Loan Payment,"$0 (My parents generously paid for my bachelor and master's degrees, but I also had a partial scholarship.)",student loan,0,diarist
8,0,Utilities,$95-130 (My boyfriend pays.),utilities,0,diarist
9,0,Internet,$70,utilities,70,diarist
10,0,Cell Phone,$29,utilities,29,diarist
11,0,Health Insurance,"$0 (Incredibly, my boyfriend's company covers us both.)",health insurance,0,diarist
12,0,Charitable Giving,"$18 to the Irish Cancer Society, as well as $25-70 to various GoFundMe causes. I try to donate to at least three causes per month, but it can be more, depending on what's going on at the time.",charity,68,diarist
13,0,Gym Membership,$24,gym,24,diarist
14,0,"Netflix, NFL Pass, Hulu",Boyfriend pays for these.,entertainment,0,diarist
15,0,Spotify,$12,entertainment,12,diarist
16,0,Savings,"$920 (I'm trying to save rather aggressively at the moment. I put this amount in every month, but sometimes I have to dip into it a little. Also, all major purchases and expenses like medical bills and airfare come out of this account.)",savings,920,diarist
17,1,Occupation,Vice President,occupation,vice president,diarist
18,1,Industry,Real Estate Company,industry,real estate,diarist
19,1,Age,27,age,27,diarist
20,1,Location,Las Vegas,location,"las vegas, NV",diarist
21,1,Salary,"$85,000",salary,85000,diarist
22,1,Paycheck Amount,"$1,500 for my hourly biweekly paycheck, plus ~$4,000-$5,000 for commission monthly",monthly paycheck,7000,diarist
23,1,Mortgage,"$1,600 (I live with my boyfriend, but he's in dental school so I pay the majority for now.)",mortgage,1600,diarist
24,1,Student Loan Payment,"$0 (My parents helped pay for college, and real estate school is very affordable.)",student loan,0,diarist
25,1,Health Insurance,$0 (Covered by work),health insurance,0,diarist
26,1,Car Insurance,$280,auto,280,diarist
27,1,Utilities,~$400 (The boyfriend and I sometimes split.),utilities,400,diarist
28,1,Netflix,$11.99,entertainment,11.99,diarist
29,1,Hulu,$10,entertainment,10,diarist
30,1,Yoga Studio,$30,gym,30,diarist
31,1,Phone,$0 (Covered by work),utilities,0,diarist
32,1,Savings,"Once I pay off my credit card for the month, everything else from my commission goes into savings!",savings,,diarist
33,2,Occupation,Consultant,occupation,consultant,diarist
34,2,Industry,Finance,industry,finance,diarist
35,2,Age,34,age,34,diarist
36,2,Location,Singapore,location,"singapore, singapore",diarist
37,2,MySalary,"$21,594 (I'm working part-time until my son gets older.)",salary,21594,diarist
38,2,My Husband's Salary,"$403,968 plus his bonus, which is a minimum of $456,000 (50% of which is cash, and the rest is shares which vest two years in the future)",salary,403968,spouse
39,2,My Paycheck Amount (Monthly),"$1,799.52",monthly paycheck,1799.52,diarist
40,2,My Husband's Paycheck Amount (Monthly),"$33,664",monthly paycheck,33664,spouse
41,2,Additional Rental Income,"$37,654/year (from a property we have back in New Zealand)",income,3137.83,diarist
42,2,Rent,"$7,622",rent,7622,diarist
43,2,Helper,$647.90,misc,647.9,diarist
44,2,Utilities,$591,utilities,591,diarist
45,2,Landlord's Insurance,$110,misc,110,diarist
46,2,Health Insurance,$0 (My husband's company pays for it.),health insurance,0,diarist
47,2,Car Lease,"$1,626",auto,1626,diarist
48,2,Netflix,$13.60,entertainment,13.6,diarist
49,2,Online Exercise Class Subscription,$39.99,gym,39.99,diarist
50,2,Cratejoy Subscription,$19.50,misc,19.5,diarist
51,2,Online Newspaper & Magazine Subscriptions,$45,misc,45,diarist
52,2,Charities,"We donate an average of 5% of our annual pre-bonus post-tax income to various charities and friends doing charity walks, etc.",charity,1700,diarist
53,2,Savings,"We save at least $12,000 per month out of our salaries (on average), plus the entirety of my husband's annual bonus.",savings,12000,diarist
54,2,Childcare,$266.78/week,childcare,1067.12,diarist
55,2,Pest Control,$502/year,misc,41.83,diarist
56,3,Occupation,Sales Manager,occupation,sales manager,diarist
57,3,Industry,Medical Device Manufacturing,industry,medical device manufacturing,diarist
