,diary_index,title,value
0,0,Occupation,Digital Marketing Account Manager
1,0,Industry,Hospitality
2,0,Age,26
3,0,Location,"Dublin, Ireland"
4,0,Salary,"$37,100"
5,0,Paycheck Amount (Monthly),"$2,595"
6,0,Rent,"$1,970 (My boyfriend and I split this. I pay $810, and he pays the rest. We don't really keep track of who pays for what in our day-to-day, but he generally pays for more than I do and takes care of the larger bills, as he makes more than three times as much as I do.)"
7,0,Student Loan Payment,"$0 (My parents generously paid for my bachelor and master's degrees, but I also had a partial scholarship.)"
8,0,Utilities,$95-130 (My boyfriend pays.)
9,0,Internet,$70
10,0,Cell Phone,$29
11,0,Health Insurance,"$0 (Incredibly, my boyfriend's company covers us both.)"
12,0,Charitable Giving,"$18 to the Irish Cancer Society, as well as $25-70 to various GoFundMe causes. I try to donate to at least three causes per month, but it can be more, depending on what's going on at the time."
13,0,Gym Membership,$24
14,0,"Netflix, NFL Pass, Hulu",Boyfriend pays for these.
15,0,Spotify,$12
16,0,Savings,"$920 (I'm trying to save rather aggressively at the moment. I put this amount in every month, but sometimes I have to dip into it a little. Also, all major purchases and expenses like medical bills and airfare come out of this account.)"
17,1,Occupation,Vice President
18,1,Industry,Real Estate Company
19,1,Age,27
20,1,Location,Las Vegas
21,1,Salary,"$85,000"
22,1,Paycheck Amount,"$1,500 for my hourly biweekly paycheck, plus ~$4,000-$5,000 for commission monthly"
23,1,Mortgage,"$1,600 (I live with my boyfriend, but he's in dental school so I pay the majority for now.)"
24,1,Student Loan Payment,"$0 (My parents helped pay for college, and real estate school is very affordable.)"
25,1,Health Insurance,$0 (Covered by work)
26,1,Car Insurance,$280
27,1,Utilities,~$400 (The boyfriend and I sometimes split.)
28,1,Netflix,$11.99
29,1,Hulu,$10
30,1,Yoga Studio,$30
31,1,Phone,$0 (Covered by work)
32,1,Savings,"Once I pay off my credit card for the month, everything else from my commission goes into savings!"
33,2,Occupation,Consultant
34,2,Industry,Finance
35,2,Age,34
36,2,Location,Singapore
37,2,MySalary,"$21,594 (I'm working part-time until my son gets older.)"
38,2,My Husband's Salary,"$403,968 plus his bonus, which is a minimum of $456,000 (50% of which is cash, and the rest is shares which vest two years in the future)"
39,2,My Paycheck Amount (Monthly),"$1,799.52"
40,2,My Husband's Paycheck Amount (Monthly),"$33,664"
41,2,Additional Rental Income,"$37,654/year (from a property we have back in New Zealand)"
42,2,Rent,"$7,622"
43,2,Helper,$647.90
44,2,Utilities,$591
45,2,Landlord's Insurance,$110
46,2,Health Insurance,$0 (My husband's company pays for it.)
47,2,Car Lease,"$1,626"
48,2,Netflix,$13.60
49,2,Online Exercise Class Subscription,$39.99
50,2,Cratejoy Subscription,$19.50
51,2,Online Newspaper & Magazine Subscriptions,$45
52,2,Charities,"We donate an average of 5% of our annual pre-bonus post-tax income to various charities and friends doing charity walks, etc."
53,2,Savings,"We save at least $12,000 per month out of our salaries (on average), plus the entirety of my husband's annual bonus."
54,2,Childcare,$266.78/week
55,2,Pest Control,$502/year
56,3,Occupation,Sales Manager
57,3,Industry,Medical Device Manufacturing
58,3,Age,26
59,3,Location,"Boise, ID"
60,3,Salary,"$65,000"
61,3,Paycheck Amount (Monthly),"$2,400-4,500 (I get 100% commission, so my paychecks fluctuate.)"
62,3,Additional Monthly Income,"$250 from our tenant, which we put towards paying off house projects"
63,3,Housing Cost,"~$200. My boyfriend, M., purchased a home after receiving money from an inheritance. There's no mortgage, but we split home projects and fees (insurance, property taxes, etc.)."
64,3,Student Loan Payment,$380 (and I don't like looking at how much is left!)
65,3,Car Payment,$230
66,3,Utilities,~$170
67,3,Health & Dental Insurance,~$160
68,3,401(k),$300 (my employer matches up to 3%)
69,3,Roth IRA,$50
70,3,Car Insurance,$95
