title,value,diary_index
Occupation,Digital Marketing Account Manager,0
Industry,Hospitality,0
Age,26,0
Location,"Dublin, Ireland",0
Salary,"$37,100",0
Paycheck Amount (Monthly),"$2,595",0
Rent,"$1,970 (My boyfriend and I split this. I pay $810, and he pays the rest. We don't really keep track of who pays for what in our day-to-day, but he generally pays for more than I do and takes care of the larger bills, as he makes more than three times as much as I do.)",0
Student Loan Payment,"$0 (My parents generously paid for my bachelor and master's degrees, but I also had a partial scholarship.)",0
Utilities,$95-130 (My boyfriend pays.),0
Internet,$70,0
Cell Phone,$29,0
Health Insurance,"$0 (Incredibly, my boyfriend's company covers us both.)",0
Charitable Giving,"$18 to the Irish Cancer Society, as well as $25-70 to various GoFundMe causes. I try to donate to at least three causes per month, but it can be more, depending on what's going on at the time.",0
Gym Membership,$24,0
"Netflix, NFL Pass, Hulu",Boyfriend pays for these.,0
Spotify,$12,0
Savings,"$920 (I'm trying to save rather aggressively at the moment. I put this amount in every month, but sometimes I have to dip into it a little. Also, all major purchases and expenses like medical bills and airfare come out of this account.)",0
Occupation,Vice President,1
Industry,Real Estate Company,1
Age,27,1
Location,Las Vegas,1
Salary,"$85,000",1
Paycheck Amount,"$1,500 for my hourly biweekly paycheck, plus ~$4,000-$5,000 for commission monthly",1
Mortgage,"$1,600 (I live with my boyfriend, but he's in dental school so I pay the majority for now.)",1
Student Loan Payment,"$0 (My parents helped pay for college, and real estate school is very affordable.)",1
Health Insurance,$0 (Covered by work),1
Car Insurance,$280,1
Utilities,~$400 (The boyfriend and I sometimes split.),1
Netflix,$11.99,1
Hulu,$10,1
Yoga Studio,$30,1
Phone,$0 (Covered by work),1
Savings,"Once I pay off my credit card for the month, everything else from my commission goes into savings!",1
Occupation,Consultant,2
Industry,Finance,2
Age,34,2
Location,Singapore,2
MySalary,"$21,594 (I'm working part-time until my son gets older.)",2
My Husband's Salary,"$403,968 plus his bonus, which is a minimum of $456,000 (50% of which is cash, and the rest is shares which vest two years in the future)",2
My Paycheck Amount (Monthly),"$1,799.52",2
My Husband's Paycheck Amount (Monthly),"$33,664",2
Additional Rental Income,"$37,654/year (from a property we have back in New Zealand)",2
Rent,"$7,622",2
Helper,$647.90,2
Utilities,$591,2
Landlord's Insurance,$110,2
Health Insurance,$0 (My husband's company pays for it.),2
Car Lease,"$1,626",2
Netflix,$13.60,2
Online Exercise Class Subscription,$39.99,2
Cratejoy Subscription,$19.50,2
Online Newspaper & Magazine Subscriptions,$45,2
Charities,"We donate an average of 5% of our annual pre-bonus post-tax income to various charities and friends doing charity walks, etc.",2
Savings,"We save at least $12,000 per month out of our salaries (on average), plus the entirety of my husband's annual bonus.",2
Childcare,$266.78/week,2
Pest Control,$502/year,2
Occupation,Sales Manager,3
Industry,Medical Device Manufacturing,3
Age,26,3
Location,"Boise, ID",3
Salary,"$65,000",3
Paycheck Amount (Monthly),"$2,400-4,500 (I get 100% commission, so my paychecks fluctuate.)",3
Additional Monthly Income,"$250 from our tenant, which we put towards paying off house projects",3
Housing Cost,"~$200. My boyfriend, M., purchased a home after receiving money from an inheritance. There's no mortgage, but we split home projects and fees (insurance, property taxes, etc.).",3
Student Loan Payment,$380 (and I don't like looking at how much is left!),3
Car Payment,$230,3
Utilities,~$170,3
Health & Dental Insurance,~$160,3
401(k),$300 (my employer matches up to 3%),3
Roth IRA,$50,3
Car Insurance,$95,3
Line Of Credit Payment,"$300-400 (I was careless with credit cards in the past, but I recently opened a line of credit with my bank that has a lower interest rate than my credit card, so I transferred the outstanding amount to the LOC. I have around $3,000 left to pay.)",3
Investments,"~$60 (I use Acorns and have a recurring investment, plus I have it set up to round up my purchases.)",3
Coworking Space,$35,3
Phone,$0 (My work covers the phone and bill.),3
Pet Health Plan,$26 (I split the $52 fee with my boyfriend.),3
Gym,$10,3
Feminine Care,$9 (I get Cora tampons every month.),3
Netflix,"$0 (Thanks, Sister!)",3
Spotify,$9.99,3
Sirius XM radio,$10.99,3
Savings,"$400-1,000, depending on my income for the month",3
Quip Toothbrush Subscription,"$10, every three months",3
Occupation,Stylist,4
Industry,Fashion Sales,4
Age,30,4
Location,"Los Angeles, CA",4
Salary,"$36,400",4
Paycheck Amount (2x/month),"$1,100, plus monthly bonus",4
Rent,"$1,349 (Split evenly with my boyfriend)",4
Student Loan Payment,$117,4
Cell Phone,$110,4
Cable & Internet,$74.94 (Split evenly with my boyfriend),4
Car Insurance,$0 (My parents generously still take care of this for me.),4
Electric & Gas,"~$50, included in our monthly housing bill",4
Netflix,$0 (We use my boyfriend's parents' account.),4
Hulu,$7.99,4
Apple Music,$9.99,4
iCloud Storage,$0.99,4
Book Of The Month Subscription,$14.99,4
Imperfect Produce Subscription,~$60 (boyfriend pays),4
"Health, Vision & Dental Insurance",$0 (covered by my employer),4
Savings,"~$60 (I recently started using the Digit app. I also have $5,582 in my 401(k) plan from my previous employer. My current employer does not match contributions, so I'm waiting until I earn a little more monthly to start retirement savings again.)",4
Credit Card,~$400 (working to pay off my debt ASAP),4
Occupation,Guest English Teacher,5
Industry,Education,5
Age,24,5
Location,"Daejeon, South Korea",5
Salary,"$25,000, plus a bonus at the end of my contract",5
Paycheck (Monthly),"$2,000",5
Additional Tutoring & After-School Class Income,~$500,5
Rent,"$0 (Per my contract, my employer pays my rent, which is about $375/month.)",5
Student Loan Payment,"$1,297.67 in federal loans. (Some are in my name, some are in my parents' names, but it's all my responsibility.)",5
Health Insurance,"I have national health insurance, which covers general doctors, dentists, and optometrists. Half of the cost is covered by my employer, and the other half (about $30) is deducted from my income.",5
Phone,$38,5
Internet,$0 (It's included in my rent.),5
School Lunches,~$60,5
Utilities,$50-$80,5
Building Maintenance Fee,~$35,5
Netflix,"$0 (Thanks, Dad.)",5
Savings,$100 (If I'm good that month!),5
Occupation,Part-Time Attorney,6
Industry,Law,6
Age,32,6
Location,"Central Valley, CA",6
MySalary,"$75,000",6
My Husband's Salary,"$90,000",6
My Paycheck Amount (Monthly),"$6,100",6
MyHusband's Paycheck Amount (Biweekly),"$2,021",6
Mortgage,"$1,590, including property taxes and insurance, for our three-bedroom/two-bathroom home on a half-acre lot",6
Student Loan Payment,"$0 (We paid off $233,000 in combined student loans.)",6
Childcare,"$1,700",6
Utilities,"$580, including home services like pool cleaning, etc.",6
Auto/Umbrella Policy,$130,6
Internet & Phones,$127,6
Husband's Union Dues,$66,6
Recurring Monthly Donation,$25,6
Medical Insurance Premiums,$425,6
Husband's Pension Contribution,$990,6
Daycare & Health Flex Savings Accounts,$460 (deducted from my husband's paycheck),6
Amazon Prime,$99/year,6
Credit Card Annual Fees,$600/year,6
Recurring Freelance Expenses,"$1,300/year",6
Occupation,Program Director,7
Industry,Public Health,7
Age,29,7
Location,"New York, NY",7
Salary,"$106,000",7
Paycheck Amount (2x/month),"$2,444",7
Rent,"$1,000. (Luckily, I split the rent with bae.)",7
Student Loan Payment,"$500 to a bunch of student loans, some of which are consolidated.",7
Health Insurance,$33.70,7
Gym membership,$165,7
Netflix,$12,7
Spotify,$14,7
Metrocard,$120,7
403(b),$83.34,7
Occupation,Marketing Data Analyst,8
Industry,Insurance,8
Age,24,8
Location,"Boston, MA",8
Salary,"$79,000",8
Paycheck (Biweekly),"$1,944",8
Airbnb Income (Monthly),"~$2,500",8
Rent,"$2,000 (My roommate moved out unexpectedly, so I now list my place on Airbnb.)",8
Student Loan Payment,$0 (I was lucky enough to get scholarships throughout college.),8
Health Insurance,$65 (taken out of my paycheck),8
Gym,$175,8
401(k),$243 (taken out of my paycheck),8
Savings,"I just put whatever I have left at the end of the month into my various savings accounts. I currently have $54,000 saved, and I'm planning on buying a home within the next year.",8
Charity Donation,I donate 10% of my income to a couple charities (climate change and food security-related),8
Roth IRA,"$3,200 (at the end of the year)",8
Occupation,Graphic Designer,9
Industry,Creative/Advertising,9
Age,25,9
Location,"Salt Lake City, UT",9
Salary,"$50,000",9
Paycheck Amount (2x/month),"$1,550",9
Rent,"$800 for my half (I live in a two-bedroom, two-bathroom apartment with my boyfriend.)",9
Student Loan Payment,$0 (I finished paying off my student loans last fall.),9
Health Insurance,$80 (taken out of my paycheck),9
Gas & Electric,"$15-50 for my half, depending on the season",9
Internet,$50,9
Parking,$25,9
Auto Insurance,$111,9
Cell Phone,$58,9
Adobe Creative Cloud Membership,$32,9
Acorns App,$10,9
401(k),$125,9
