day_total,day_nm,diary_index
177.72,1,0
85.54,2,0
140.21,3,0
4.0,4,0
0.0,5,0
0.0,6,0
189.1,7,0
30.0,1,1
0.0,2,1
5.0,3,1
25.0,4,1
92.0,5,1
350.0,6,1
215.0,7,1
0.0,1,2
147.28,2,2
32.05,3,2
92.12,4,2
0.0,5,2
73.06,6,2
47.35,7,2
72.21,1,3
28.52,2,3
27.25,3,3
0.0,4,3
70.92,5,3
126.25,6,3
10.5,7,3
12.7,1,4
0.0,2,4
0.0,3,4
11.98,4,4
50.17,5,4
235.44,6,4
9.53,7,4
36.45,1,5
11.41,2,5
78.98,3,5
0.0,4,5
54.97,5,5
272.12,6,5
0.0,7,5
111.52,1,6
1.04,2,6
0.0,3,6
105.5,4,6
7.93,5,6
58.98,6,6
26.27,7,6
12.3,1,7
135.31,2,7
57.95,3,7
0.0,4,7
0.0,5,7
0.0,6,7
39.81,7,7
100.96,1,8
29.86,2,8
5.51,3,8
45.78,4,8
19.69,5,8
1.0,6,8
118.37,7,8
0.0,1,9
167.97,2,9
327.36,3,9
92.0,4,9
141.0,5,9
55.14,6,9
44.42,7,9
16.19,1,10
76.44,2,10
187.53,3,10
42.81,4,10
85.5,5,10
60.07,6,10
33.02,7,10
45.0,1,11
110.12,2,11
214.0,3,11
71.6,4,11
43.75,5,11
13.25,6,11
202.3,7,11
79.32,1,12
58.5,2,12
42.49,3,12
97.03,4,12
20.82,5,12
57.33,6,12
0.0,7,12
0.0,1,13
75.84,2,13
4.5,3,13
0.0,4,13
7.59,5,13
14.87,6,13
6.5,7,13
231.85,1,14
0.0,2,14
125.24,3,14
125.87,4,14
0.0,5,14
0.0,6,14
107.88,7,14
4.23,1,15
110.4,2,15
38.3,3,15
107.37,4,15
0.0,5,15
3.0,6,15
25.53,7,15
0.0,1,16
1.0,2,16
0.0,3,16
10.36,4,16
54.57,5,16
83.29,6,16
60.35,7,16
11.56,1,17
56.34,2,17
5.04,3,17
21.46,4,17
98.17,5,17
0.0,6,17
0.0,7,17
9.27,1,18
49.09,2,18
37.0,3,18
66.08,4,18
127.17,5,18
19.17,6,18
7.97,7,18
20.0,1,19
40.0,2,19
8.0,3,19
5.0,4,19
37.0,5,19
37.0,6,19
13.0,7,19
36.0,1,20
15.0,2,20
22.0,3,20
13.0,4,20
58.0,5,20
76.0,6,20
23.0,7,20
14.2,1,21
95.0,2,21
56.75,3,21
13.0,4,21
31.0,5,21
13.0,6,21
10.0,7,21
196.16,1,22
12.0,2,22
21.98,3,22
12.74,4,22
37.45,5,22
10.85,6,22
124.88,7,22
0.0,1,23
0.0,2,23
36.0,3,23
56.89,4,23
0.0,5,23
13.0,6,23
74.64,7,23
1.0,1,24
37.3,2,24
122.48,3,24
0.0,4,24
4.29,5,24
40.55,6,24
268.76,7,24
10.5,1,25
17.5,2,25
0.0,3,25
464.5,4,25
10.5,5,25
20.0,6,25
25.0,7,25
0.0,1,26
36.0,2,26
65.0,3,26
200.0,4,26
115.0,5,26
5.0,6,26
0.0,7,26
20.0,1,27
0.0,2,27
64.68,3,27
38.99,4,27
3.95,5,27
213.5,6,27
86.0,7,27
74.25,1,28
4.35,2,28
1.0,3,28
0.0,4,28
88.78,5,28
18.32,6,28
171.38,7,28
384.63,1,29
41.89,2,29
438.32,3,29
132.15,4,29
144.63,5,29
271.24,6,29
13.0,7,29
6.5,1,30
114.5,2,30
103.0,3,30
71.0,4,30
10.0,5,30
12.0,6,30
32.0,7,30
94.0,1,31
75.58,2,31
75.11,3,31
24.41,4,31
93.8,5,31
84.25,6,31
29.5,7,31
37.39,1,32
15.99,2,32
18.03,3,32
38.25,4,32
42.11,5,32
30.2,6,32
2.37,7,32
125.0,1,33
169.0,2,33
2.0,3,33
175.0,4,33
124.0,5,33
106.0,6,33
38.0,7,33
359.49,1,34
108.0,2,34
81.8,3,34
17.62,4,34
706.57,5,34
132.6,6,34
62.92,7,34
144.91,1,35
18.7,2,35
66.0,3,35
21.5,4,35
17.0,5,35
27.5,6,35
83.6,7,35
41.18,1,36
0.0,2,36
