index,salary,occupation,industry,location,url
0,165000,Part-Time Attorney,Law,"Central Valley, CA",https://www.refinery29.com/money-diary-central-valley-california-part-time-attorney-salary
1,39500,Key Account Specialist,Apparel Manufacturing & Marketing,"Vancouver, BC",https://www.refinery29.com/money-diary-vancouver-bc-key-account-specialist-salary
2,47000,Communication Specialist,Higher Education,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-communication-specialist-salary
3,70000,Programmer,Tech,New York City,https://www.refinery29.com/money-diary-new-york-ny-programmer-salary
4,32780,Assistant Language Teacher,Education,"Niigata, Japan",https://www.refinery29.com/money-diary-niigata-japan-assistant-language-teacher-salary
5,112500,Human Resources Manager,Pharmaceuticals,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-human-resources-manager-salary
6,37000,Associate Clinical Research Coordinator,Health Care,"New Orleans, LA",https://www.refinery29.com/money-diary-new-orleans-la-associate-clinical-research-coordinator-salary
7,55000,Office Manager,Architecture,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-office-manager-salary
8,43500,Environmental Specialist,Government,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-washington-environmental-specialist-salary
9,148000,Business Analyst,Staffing,"Houston, TX",https://www.refinery29.com/money-diary-houston-tx-business-analyst-salary
10,54000,Analyst,Market Research,New York City,https://www.refinery29.com/money-diary-new-york-ny-analyst-salary
11,92000,Analyst,Tech,"Mexico City, Mexico",https://www.refinery29.com/money-diary-mexico-city-mexico-analyst-salary
12,50000,Education Program Specialist,Education Policy,Wyoming,https://www.refinery29.com/money-diary-wyoming-education-program-specialist-salary
13,260000,Software Engineer,Technology,"Berkeley, CA",https://www.refinery29.com/money-diary-berkeley-ca-software-engineer-salary
14,60093,Office Manager,Investment,"Munich, Germany",https://www.refinery29.com/money-diary-munich-office-manager-salary
15,56084,Health Promotion Officer,Public Health,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-health-promotion-officer-salary
16,85000,Analyst,Consulting,New York City,https://www.refinery29.com/money-diary-new-york-city-analyst-salary
17,96925,Police Call Taker,Emergency Services,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-police-call-taker-salary
18,44000,Program Associate,Nonprofit,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-program-associate-salary
19,55000,Paralegal,Law,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-paralegal-salary
20,46000,Marketing Coordinator,Food and Beverage,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-marketing-coordinator-salary
21,45000,Social Media Assistant,Auctions,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-social-media-assistant-salary
22,52000,Graphic Design & Marketing,Weddings,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-graphic-design-marketing-salary
23,17700,AmeriCorps Member,Nonprofit Education,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-americorps-member-salary
24,180000,Entrepreneur,Network Marketing,Alaska,https://www.refinery29.com/money-diary-alaska-entrepreneur-salary
25,41000,English Teacher,Education,"Grand Rapids, MI",https://www.refinery29.com/money-diary-grand-rapids-michigan-english-teacher-salary
26,57000,Analyst,Nonprofit,Indiana,https://www.refinery29.com/money-diary-indiana-analyst-salary
27,260000,Associate,Law,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-associate-salary
28,190371,Finance Manager,Transportation,"Fort Worth, TX",https://www.refinery29.com/money-diary-fort-worth-tx-finance-manager-salary
29,244000,Marketing Communications Manager,Nonprofit,"Essex County, MA",https://www.refinery29.com/money-diary-essex-county-ma-marketing-communications-manager-salary
30,84000,Interior Designer,Commercial Interior Design,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-interior-designer-salary
31,60000,Managing Editor,Digital Media,"Montreal, Canada",https://www.refinery29.com/money-diary-montreal-canada-managing-editor-salary
32,18000,Master's Student/Researcher,Software Engineering,"South Tyrol, Italy",https://www.refinery29.com/money-diary-south-tyrol-italy-researcher-salary
33,41000,Pediatric Nurse,Public Hospital,"Toulouse, France",https://www.refinery29.com/money-diary-toulouse-pediatric-nurse-salary
34,91972,Assistant Surgeon & Full-Time PhD Student,Medicine,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-doctor-salary
35,77088,Partner Manager,Tech,Singapore,https://www.refinery29.com/money-diary-singapore-partner-manager-salary
36,114500,Gameplay Engineer,Video Games,"San Francisco, CA",https://www.refinery29.com/money-diary-san-francisco-bay-area-gameplay-engineer-salary
37,32084,Project Coordinator,Fashion,New York City,https://www.refinery29.com/money-diary-new-york-city-project-coordinator-salary
38,38000,Copywriter,Marketing,"Detroit, MI",https://www.refinery29.com/money-diary-detroit-michigan-copywriter-salary
39,111000,Administrator,Office Technology,"Buffalo, NY",https://www.refinery29.com/money-diary-buffalo-ny-adminsales-support-salary
40,115000,Attorney,Law,"Birmingham, AL",https://www.refinery29.com/money-diary-alabama-attorney-salary
