mn_exp_amt,mn_exp_rawtext,diary_index
1590.0,Mortgage,0
0.0,", including property taxes and insurance, for our three-bedroom/two-bathroom home on a half-acre lot Student Loan Payment",0
233000.0,(We paid off,0
1700.0,Childcare,0
580.0,Utilities,0
130.0,"including home services like pool cleaning, etc. Auto/Umbrella Policy",0
127.0,Internet & Phones,0
66.0,Husband's Union Dues,0
25.0,Recurring Monthly Donation,0
425.0,Medical Insurance Premiums,0
990.0,Husband's Pension Contribution,0
460.0,Daycare & Health Flex Savings Accounts,0
99.0,Additional Expenses Amazon Prime,0
600.0,/year Credit Card Annual Fees,0
1300.0,/year Recurring Freelance Expenses,0
630.0,Mortgage,1
0.0,Student Loan Payment,1
292.0,Condo Strata Fee,1
65.0,Phone Bill,1
113.0,Internet & Cable,1
16.5,Spotify & Netflix,1
220.0,Lash Treatment,1
24.0,for 2x/month Office Breakfast Program,1
40.0,Electricity,1
120.0,Dog Expenses,1
155.0,Car Expenses,1
27.0,,1
1042.5,Monthly Housing Costs,2
0.0,Student Loan Payments,2
7500.0,"(I'm deferring my undergrad loans right now, but I have around",2
140.0,Health Insurance,2
16.0,Dental Insurance,2
140.0,Car & Renter's Insurance,2
70.0,,2
240.0,403b,2
17.0,Work Parking Spot,2
10.0,FSA,2
65.0,Phone,2
6.0,Spotify,2
15.0,ClassPass,2
27.89,Wifi,2
15.0,Electricity:  ~,2
1250.0,Rent,3
0.0,Student Loan Payment,3
0.0,Health Insurance,3
100.0,Electricity:  ~,3
15.0,Internet,3
9.99,Spotify,3
0.0,Phone,3
121.0,MetroCard,3
160.0,for 30 days unlimited Therapy,3
500.0,Savings:  ~,3
1000.0,-,3
60.0,Advertisement Additional Expenses Cleaning Service,3
370.0,Rent,4
123.53,Health Insurance,4
233.3,Welfare Pension,4
318.92,o Car Rental,4
54.98,Utilities,4
54.98,Internet,4
41.0,Phone Bill,4
10.99,Netflix,4
8.92,Spotify,4
40.0,Monthly Lunch Bill: ~,4
2250.0,Mortgage,5
300.0,", plus the",5
400.0,HOA fee. (My sister lives with me and pays,5
455.0,Student Loan Payment,5
350.0,"Car Payment, Insurance & Phone",5
0.0,Internet & Cable,5
10.99,Netflix,5
32.5,Wine Membership,5
50.0,ClassPass,5
35.0,Savings:  I put in whatever I have leftover at the end of the month. I'm rebuilding my savings after buying my place. Advertisement Additional Expenses CSA Box,5
800.0,Rent,6
197.58,Student Loan Payment,6
4.99,Apple Music,6
0.0,Netflix,6
0.0,Phone Bill,6
64.0,Le Tote,6
14.99,Book of the Month Club,6
140.0,Gas & Electric:  ~,6
117.34,Cable & Internet,6
56.96,,6
56.96,", deducted from each paycheck pre-tax 403b",6
7.1,", deducted from each paycheck pre-tax Dental Insurance",6
29.81,Flex Spending Account,6
89.1,", deducted from each paycheck pre-tax Health Insurance",6
3.0,", deducted from each paycheck pre-tax Vision insurance",6
10.28,deducted from each paycheck pre-tax Long-term Disability Insurance,6
1.09,", deducted from each paycheck pre-tax Term life insurance",6
1756.0,Rent,7
150.0,(I live in a small one-bedroom “affordable housing” apartment.,7
49.99,Internet,7
20.0,Electricity,7
0.0,Gas & Water,7
100.0,Cell Phone,7
72.0,Car Insurance,7
0.0,"Medical, Vision & Dental Insurance",7
10.99,Netflix,7
4.99,Pandora,7
1.99,Apple Cloud Storage,7
0.0,"HBO, Showtime & Firestick",7
0.0,Hulu,7
0.0,Costco,7
800.0,Credit Card,7
8000.0,"-1,000, for the next couple of months until my debt is paid off. (I've paid off",7
0.0,Savings,7
35.0,"I plan to have 4% taken out of my paychecks once I'm eligible, in addition to the 7.5% of my salary that my employer contributes. I will up my contribution amount significantly once my debt is paid off. Advertisement Additional Expenses Therapy",7
95.88,biweekly Headspace,7
750.0,Rent,8
0.0,Student Loan Payment,8
155.88,Health Insurance,8
24.62,Pet Insurance,8
210.0,,8
110.0,Transportation,8
57.4,Car Insurance,8
12.99,Spotify & Hulu,8
0.0,Netflix,8
69.36,Climbing Gym,8
0.0,Phone Bill,8
40.0,(This is my last month on my parents' plan — next month it will be,8
45.0,Utility Bill:  ~,8
150.0,Savings,8
1838.0,Rent,9
0.0,Student Loan Payment,9
332.0,,9
42.0,"Medical, Vision & Dental Insurance",9
105.0,Phone Bill,9
270.92,Car Insurance,9
120.0,Utilities:  ~,9
35.0,ClassPass,9
120.0,House Cleaning,9
60.0,(,9
0.0,Hulu,9
2500.0,"Savings:  Since moving to Houston, it's been hard for us to consistently save money each month because we've had to make some major purchases — cars, furniture, etc. We're finally done paying everything off and hope to save around",9
100.0,each month. Advertisement Additional Expenses Amazon Prime,9
1300.0,Rent,10
0.0,Student Loan Payments,10
35.0,Utilities,10
0.0,Health Insurance,10
0.0,Cell Phone,10
10.0,Spotify,10
10.0,Hulu Plus,10
30.0,Internet,10
121.0,MetroCard,10
167.0,for my unlimited monthly pass Spin Studio Membership,10
200.0,Savings,10
1200.0,Rent,11
2900.0,"for a two-bedroom apartment, split evenly with my partner. Mortgage",11
1000.0,"for our house in Seattle, split evenly with my partner. (We have a renter who pays us",11
1400.0,"/month and runs half of the house on Airbnb, which we usually make about",11
250.0,"/month from. My partner and I split the remainder, which works out to be about",11
564.0,Student Loan Payment,11
120.0,Utilities,11
89.0,Phone,11
130.0,Car Insurance,11
10.0,Spotify,11
8.0,Netflix,11
4.0,Advertisement Additional Expenses Drinking Water,11
15.0,/week Housecleaning,11
0.0,Rent,12
167.0,Student Loan Payment,12
324.0,Car Loan Payment,12
170.0,Heating/Electric,12
77.0,Water/Trash,12
117.0,Phone Bill,12
